Código Postal,Asentamiento,Tipo de Asentamiento,Municipio,Estado,Ciudad,Clave de Oficina
31110,Los Encinos,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31110,Paseo de las Moras,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31110,Arboledas III,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31110,Los Encinos II,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31110,Lomas los Frailes,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31110,Arboledas V,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31114,Lomas del Sol I,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31114,Charros,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31114,Colinas del Sol III,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31114,Complejo Industrial las Américas,Zona industrial,Chihuahua,Chihuahua,Chihuahua,31102
31114,Lomas América,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Calicanto,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Punto Alto E-2,Condominio,Chihuahua,Chihuahua,Chihuahua,31102
31115,Residencial San Francisco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Bosques de San Francisco III,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Jardines de San Francisco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Misión del Bosque,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Las Misiones,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Valle del Ángel,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Bosques de San Francisco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Cerrada la Cantera,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Rincones de San Francisco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Villa Toscana,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Misión del Valle,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Misión del Valle II,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31115,Las Canteras,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31116,Puente de Piedra,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31102
31120,Nacional,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31120,Churubusco,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31120,Laura Leticia,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31120,Lomas Karike,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
31120,Lourdes,Colonia,Chihuahua,Chihuahua,Chihuahua,31102
